Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,1299,Salesian College Sunbury,Secondary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,311.0,299.0,262.0,255.0,198.0,0.0,1651.0,1651.0,2024,F
Catholic,2,1301,St Patrick's School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,25.0,20.0,27.0,23.0,15.0,22.0,22.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,2024,F
Catholic,2,1309,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Baw Baw (S),Inner Gippsland,16.0,12.0,17.0,16.0,19.0,13.0,10.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2024,F
Catholic,2,1310,St Patrick's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,36.0,25.0,44.0,32.0,47.0,38.0,40.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,2024,F
Catholic,2,1311,St Roch's School,Primary,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,17.0,23.0,19.0,22.0,20.0,17.0,19.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,2024,F
Catholic,2,1328,St Anne's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,9.0,12.0,12.0,6.0,15.0,9.0,10.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2024,F
Catholic,2,1342,Our Lady of Perpetual Help School,Primary,O,NORTH-EASTERN VICTORIA,Maroondah (C),Outer Eastern Melbourne,28.0,46.0,23.0,31.0,38.0,35.0,49.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,2024,F
Catholic,2,1343,St Francis Xavier Primary School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,53.0,49.0,49.0,47.0,49.0,49.0,34.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,2024,F
Catholic,2,1347,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,25.0,23.0,12.0,23.0,19.0,18.0,21.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,2024,F
Catholic,2,1354,St Cecilia's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,45.0,40.0,49.0,36.0,40.0,21.4,33.0,0.0,264.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.4,2024,F
Catholic,2,1368,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,47.0,50.0,50.0,47.0,54.0,50.0,45.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,2024,F
Catholic,2,1373,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Mildura (RC),Mallee,17.0,16.0,16.0,9.0,14.0,12.0,12.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2024,F
